Sp,Valor,Clade
antonii,33.07,Draconura
antonii,35.21,Draconura
antonii,32.29,Draconura
antonii,26.4,Draconura
antonii,28.8,Draconura
antonii,29.2,Draconura
antonii,26.6,Draconura
antonii,29.95,Draconura
antonii,27.82,Draconura
antonii,30.11,Draconura
antonii,31.14,Draconura
antonii,26.67,Draconura
antonii,29.83,Draconura
antonii,24.41,Draconura
antonii,28.22,Draconura
antonii,27.85,Draconura
antonii,27.77,Draconura
antonii,28.03,Draconura
antonii,26.4,Draconura
antonii,28.52,Draconura
antonii,29.12,Draconura
antonii,27.58,Draconura
antonii,27.02,Draconura
antonii,25.42,Draconura
antonii,28.1,Draconura
antonii,26.64,Draconura
antonii,27.69,Draconura
antonii,27.64,Draconura
antonii,26.13,Draconura
antonii,28.8,Draconura
antonii,26.6,Draconura
antonii,26.72,Draconura
antonii,28.34,Draconura
antonii,28.59,Draconura
antonii,27.64,Draconura
antonii,24.65,Draconura
antonii,28.1,Draconura
antonii,27.07,Draconura
antonii,27.51,Draconura
antonii,27.63,Draconura
antonii,26.47,Draconura
antonii,26.15,Draconura
antonii,27.12,Draconura
antonii,27.19,Draconura
antonii,22.39,Draconura
antonii,27.06,Draconura
antonii,26.46,Draconura
antonii,27.7,Draconura
antonii,27.7,Draconura
antonii,27.28,Draconura
antonii,27.01,Draconura
antonii,27.13,Draconura
antonii,26.42,Draconura
antonii,30.16,Draconura
antonii,30.06,Draconura
antonii,28.22,Draconura
antonii,26.5,Draconura
antonii,30.49,Draconura
antonii,28.24,Draconura
antonii,27.9,Draconura
antonii,28.46,Draconura
antonii,28.4,Draconura
antonii,28.75,Draconura
antonii,29.42,Draconura
chloris,30.14,Dactyloa
chloris,29.44,Dactyloa
chloris,32.11,Dactyloa
chloris,32.7,Dactyloa
chloris,32.96,Dactyloa
chloris,31.16,Dactyloa
chloris,31.02,Dactyloa
chloris,32.35,Dactyloa
chloris,32.25,Dactyloa
chloris,31.9,Dactyloa
chloris,32.9,Dactyloa
chloris,33.02,Dactyloa
chloris,31.98,Dactyloa
chloris,31.57,Dactyloa
chocuorum,32.5,Dactyloa
chocuorum,31.43,Dactyloa
danieli,30.5,Dactyloa
danieli,31.43,Dactyloa
danieli,30.7,Dactyloa
danieli,28.01,Dactyloa
danieli,29.88,Dactyloa
granuliceps,0,Draconura
granuliceps,0,Draconura
heterodermus,27.12,Dactyloa
heterodermus,28.88,Dactyloa
heterodermus,30.39,Dactyloa
heterodermus,28.5,Dactyloa
heterodermus,35.3,Dactyloa
heterodermus,34.22,Dactyloa
heterodermus,34.46,Dactyloa
maculigula,28.66,Dactyloa
maculigula,26.67,Dactyloa
maculigula,30.39,Dactyloa
maculigula,30.54,Dactyloa
maculigula,29.19,Dactyloa
maculigula,30.97,Dactyloa
maculigula,30,Dactyloa
maculigula,30.23,Dactyloa
maculiventris,32.5,Draconura
maculiventris,32.02,Draconura
maculiventris,31.55,Draconura
maculiventris,31.4,Draconura
maculiventris,30.8,Draconura
maculiventris,33.12,Draconura
maculiventris,31.07,Draconura
maculiventris,32.43,Draconura
notopholis,34.14,Draconura
notopholis,30.67,Draconura
calimae,22.62,Dactyloa
calimae,28.22,Dactyloa
calimae,28.24,Dactyloa
princeps,36.47,Dactyloa
princeps,24.7,Dactyloa
princeps,35.77,Dactyloa
ventrimaculatus,33.18,Dactyloa
ventrimaculatus,33.1,Dactyloa
ventrimaculatus,28.4,Dactyloa
ventrimaculatus,28.66,Dactyloa
ventrimaculatus,27.6,Dactyloa
ventrimaculatus,27.8,Dactyloa
ventrimaculatus,26.91,Dactyloa
ventrimaculatus,26.8,Dactyloa
ventrimaculatus,27.6,Dactyloa
ventrimaculatus,28.8,Dactyloa
ventrimaculatus,28.4,Dactyloa
ventrimaculatus,32.8,Dactyloa
ventrimaculatus,29.2,Dactyloa
ventrimaculatus,26.2,Dactyloa
ventrimaculatus,31.1,Dactyloa
ventrimaculatus,28.1,Dactyloa
ventrimaculatus,32.2,Dactyloa
ventrimaculatus,28.2,Dactyloa
ventrimaculatus,28.1,Dactyloa
ventrimaculatus,29.7,Dactyloa
ventrimaculatus,27.7,Dactyloa
ventrimaculatus,27.7,Dactyloa
ventrimaculatus,27.3,Dactyloa
ventrimaculatus,28.94,Dactyloa
ventrimaculatus,28.79,Dactyloa
ventrimaculatus,29.29,Dactyloa
ventrimaculatus,28.33,Dactyloa
ventrimaculatus,28.69,Dactyloa
ventrimaculatus,28.99,Dactyloa
ventrimaculatus,30.95,Dactyloa
ventrimaculatus,29.11,Dactyloa
ventrimaculatus,30.44,Dactyloa
ventrimaculatus,26.57,Dactyloa
ventrimaculatus,27.24,Dactyloa
ventrimaculatus,28.22,Dactyloa
ventrimaculatus,26.44,Dactyloa
ventrimaculatus,27.33,Dactyloa
ventrimaculatus,27.33,Dactyloa
ventrimaculatus,28.24,Dactyloa
ventrimaculatus,27.33,Dactyloa
ventrimaculatus,27.28,Dactyloa
ventrimaculatus,27.57,Dactyloa
ventrimaculatus,27.13,Dactyloa
ventrimaculatus,28.44,Dactyloa
ventrimaculatus,28.24,Dactyloa
ventrimaculatus,29.41,Dactyloa
ventrimaculatus,27.99,Dactyloa
