Sp,Valor,Clade
antonii,11.25,Draconura
antonii,10.5,Draconura
antonii,11,Draconura
antonii,10.48,Draconura
antonii,10.8,Draconura
antonii,11.5,Draconura
antonii,12.8,Draconura
antonii,11.4,Draconura
antonii,12.3,Draconura
antonii,12.5,Draconura
antonii,16.87,Draconura
antonii,15.92,Draconura
antonii,15.87,Draconura
antonii,13.93,Draconura
antonii,17.6,Draconura
antonii,14.11,Draconura
antonii,14.48,Draconura
antonii,15.82,Draconura
antonii,14.62,Draconura
antonii,15.57,Draconura
antonii,12.17,Draconura
antonii,14.53,Draconura
antonii,15.22,Draconura
antonii,14.92,Draconura
antonii,13.9,Draconura
antonii,15.36,Draconura
antonii,14.17,Draconura
antonii,16.77,Draconura
antonii,17.67,Draconura
antonii,14.38,Draconura
antonii,12.6,Draconura
antonii,15.41,Draconura
antonii,15.1,Draconura
antonii,17.8,Draconura
antonii,12.79,Draconura
antonii,12.13,Draconura
antonii,13.8,Draconura
antonii,12.5,Draconura
antonii,10.34,Draconura
antonii,11.87,Draconura
antonii,12.37,Draconura
antonii,14.96,Draconura
antonii,11.85,Draconura
antonii,12.4,Draconura
antonii,11.1,Draconura
antonii,11.52,Draconura
antonii,11.97,Draconura
antonii,13.54,Draconura
antonii,11.5,Draconura
antonii,11.73,Draconura
antonii,12.2,Draconura
antonii,11.77,Draconura
antonii,11.45,Draconura
antonii,10.48,Draconura
antonii,10.99,Draconura
antonii,13.9,Draconura
antonii,11.1,Draconura
antonii,10.96,Draconura
antonii,12.39,Draconura
antonii,12.5,Draconura
antonii,10.86,Draconura
antonii,12.2,Draconura
calimae,13.25,Dactyloa
calimae,14.14,Dactyloa
calimae,13.4,Dactyloa
chloris,12.89,Dactyloa
chloris,12.72,Dactyloa
chloris,18.5,Dactyloa
chloris,14.62,Dactyloa
chloris,15.95,Dactyloa
chloris,17.51,Dactyloa
chloris,11.82,Dactyloa
chloris,10.86,Dactyloa
chloris,12.45,Dactyloa
chloris,11.24,Dactyloa
chloris,12.49,Dactyloa
chloris,11.44,Dactyloa
chloris,10.11,Dactyloa
chloris,10.95,Dactyloa
chloris,12.6,Dactyloa
chloris,12.1,Dactyloa
chloris,13.2,Dactyloa
chloris,12.5,Dactyloa
chloris,12.5,Dactyloa
chocuorum,19.72,Dactyloa
chocuorum,18.22,Dactyloa
danieli,14.94,Dactyloa
danieli,13.9,Dactyloa
danieli,12.33,Dactyloa
danieli,14.7,Dactyloa
danieli,13.45,Dactyloa
danieli,14.98,Dactyloa
danieli,11.07,Dactyloa
granuliceps,16.16,Draconura
granuliceps,14.84,Draconura
heterodermus,8.9,Dactyloa
heterodermus,10.45,Dactyloa
heterodermus,9.3,Dactyloa
heterodermus,6.12,Dactyloa
heterodermus,5.77,Dactyloa
heterodermus,8.7,Dactyloa
heterodermus,3.71,Dactyloa
maculigula,11.6,Dactyloa
maculigula,12.6,Dactyloa
maculigula,10.8,Dactyloa
maculigula,10.88,Dactyloa
maculigula,15.65,Dactyloa
maculigula,15.89,Dactyloa
maculigula,13.3,Dactyloa
maculigula,12.93,Dactyloa
maculigula,12.9,Dactyloa
maculigula,12.87,Dactyloa
maculigula,13.5,Dactyloa
maculigula,14.32,Dactyloa
maculiventris,22.56,Draconura
maculiventris,18.15,Draconura
maculiventris,19.41,Draconura
maculiventris,18.48,Draconura
maculiventris,17.43,Draconura
maculiventris,16.9,Draconura
maculiventris,17.6,Draconura
maculiventris,16.28,Draconura
maculiventris,16.22,Draconura
maculiventris,16.74,Draconura
notopholis,13.97,Draconura
notopholis,14.88,Draconura
princeps,18.43,Dactyloa
princeps,15.67,Dactyloa
princeps,8.96,Dactyloa
princeps,9.33,Dactyloa
ventrimaculatus,10.98,Dactyloa
ventrimaculatus,11.3,Dactyloa
ventrimaculatus,8.8,Dactyloa
ventrimaculatus,9.1,Dactyloa
ventrimaculatus,8.6,Dactyloa
ventrimaculatus,9.8,Dactyloa
ventrimaculatus,9.1,Dactyloa
ventrimaculatus,9.2,Dactyloa
ventrimaculatus,10.9,Dactyloa
ventrimaculatus,11.7,Dactyloa
ventrimaculatus,10.2,Dactyloa
ventrimaculatus,9.9,Dactyloa
ventrimaculatus,10.81,Dactyloa
ventrimaculatus,13.83,Dactyloa
ventrimaculatus,10.81,Dactyloa
ventrimaculatus,12.77,Dactyloa
ventrimaculatus,9.32,Dactyloa
ventrimaculatus,12.55,Dactyloa
ventrimaculatus,14.98,Dactyloa
ventrimaculatus,12.96,Dactyloa
ventrimaculatus,13.66,Dactyloa
ventrimaculatus,14.69,Dactyloa
ventrimaculatus,9.22,Dactyloa
ventrimaculatus,11.8,Dactyloa
ventrimaculatus,17.46,Dactyloa
ventrimaculatus,13.47,Dactyloa
ventrimaculatus,9.9,Dactyloa
ventrimaculatus,15.59,Dactyloa
ventrimaculatus,13.6,Dactyloa
ventrimaculatus,10.43,Dactyloa
ventrimaculatus,13.41,Dactyloa
ventrimaculatus,16.3,Dactyloa
ventrimaculatus,12.99,Dactyloa
ventrimaculatus,13.73,Dactyloa
ventrimaculatus,14.62,Dactyloa
ventrimaculatus,14.49,Dactyloa
ventrimaculatus,14.7,Dactyloa
ventrimaculatus,13.73,Dactyloa
ventrimaculatus,15.7,Dactyloa
ventrimaculatus,14.98,Dactyloa
ventrimaculatus,15.48,Dactyloa
ventrimaculatus,17.24,Dactyloa
ventrimaculatus,15.67,Dactyloa
ventrimaculatus,14.37,Dactyloa
ventrimaculatus,13.23,Dactyloa
ventrimaculatus,14.48,Dactyloa
ventrimaculatus,12.6,Dactyloa
ventrimaculatus,13.32,Dactyloa
ventrimaculatus,10.15,Dactyloa
ventrimaculatus,11.15,Dactyloa
ventrimaculatus,11.56,Dactyloa
ventrimaculatus,11.41,Dactyloa
ventrimaculatus,10.63,Dactyloa
ventrimaculatus,11.56,Dactyloa
